data/hora;idade;genero;situacao_conjugal;situacao_empregaticia;estado_reside;ies;nome_curso;nivel_ensino;data_inicio_ curso;tipo_ies;local_estudante;migrou_virtual;ies_fechou_dorm;situação_durante_pandemia;data_fechamento;residencia_atual;moradia_atual_permanente;morando_com; convive_risco_relevante;quarentena_imposta;vivenciou;acesso_servicos_saude;acesso_internet;capacidade_prosseguir_estudos;capacidade_socializacao ;bem_estar_psicologico;qualidade_de_vida;aulas_durante_pandemia;acesso_professores;acesso_infra_ies;espaco_físico;disposicao_atividades;desempenho_escolar;ies_reinicio;data_reinico;vacinado;dificuldades_academicas;despesas;renda_financeira;ajuda_financeira;nivel_endividamento;despesas_cresceram;dificuldades_financeiras; decisao_fechar;ies_positivo;ies_melhorar;ies_ajudar;nivel_ansiedade;ansiedade_planejamento;ansiedade_longo_prazo;detalhes_finais
22/04/2021;21;Feminino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas de Informação ;Graduação;01/03/2020;Pública;Outra cidade;Sim;Não sei;;13/03/2020;Fora do campus, mas na mesma cidade;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;O mesmo de antes;O mesmo que antes;Pior do que antes;Pior do que antes;Pior do que antes;;Pioraram;Melhorou;;Piorou;Ficou mais ou menos a mesma;Aumentou;N/A ou Não sabe;;;;Foram mais ou menos os mesmos;Diminuiu;Não;Estão mais ou menos as mesmas;Relacionadas com saúde;;De forma oportuna e prudente;Reconheço que minha instituição foi muito receptiva a dificuldade e dúvidas que os alunos tiveram ao longo do processo.;Gostaria que a instituição tivesse feito mais reuniões de apoio se necessário, para repassar a situação da universidade em relação aos prazos, retorno às aulas e etc.;Além do que foi feito, ajudaria muito se a instituição tornasse obrigatório a gravação das aulas, visto que alguns professores são contra a gravação, e acabam dificultando a aprendizagem caso tenhamos alguma dúvida, com o vídeo o processo de estudo se facilita.;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;
22/04/2021;25;Masculino;Solteiro(a);Empregado(a);SP;FGV;Pós-Graduação em Administração de Empresas;Mestrado;01/03/2020;Privada;Outra cidade;Sim;Não sei;;15/03/2020;Fora do campus, mas na mesma cidade;Sim;Colega de quarto/República;Não;Não;Dificuldades para viajar/se deslocar;O mesmo de antes;Melhor do que antes;Muito melhor do que antes;Pior do que antes;Pior do que antes;;Pioraram;Foi mais ou menos o mesmo;;Melhorou;Aumentou;Foi mais ou menos o mesmo;N/A ou Não sabe;;;Não presenciei a alteração de dinâmica durante o curso (ingressei em 2021 na instituição), porém acredito que a produtividade aumentou. Atualmente tenho mais tempo focado na realização das tarefas que anteriormente.;Diminuiram;Aumentou;Não;Diminuiram;Relacionadas com saúde, Aluguel, Internet, Alimentação;Ao passo que os gastos de entretenimento caíram drasticamente, os produtos de bens de consumo aumentaram significantemente.;De forma oportuna e prudente;Acredito que a instituição está sabendo lidar bem com a nova dinâmica das aulas e, além disso, está respondendo bem em facilitar acesso a livros e materiais do curso. ;Gostaria que minha instituição utilizasse mais de espaços virtuais para troca de experiência  entre pessoas de diferentes cursos.;Ajudaria se a instituição disponibilizasse o retorno híbrido após melhora da pandemia.;O mesmo de antes;Pior do que antes;O mesmo de antes;Reconhecendo o privilégio de poder trabalhar e estudar da minha casa, acredito que a pandemia impactou pouco meu cotidiano em questões econômicas ou de saúde. Uma observação possível é que a utilização do tempo melhorou. Mais atividades podem ser realizadas ao mesmo momento. Por outro lado, aspectos como distanciamento social e  incertezas sobre os meses futuros impactaram diretamente o psicológico.
26/04/2021;40;Feminino;Casado(a);Empregado(a);SP;UNESP;Pós-Graduação em Mídia e Tecnologia;Doutorado;01/03/2020;Pública;Local;Sim;Não sei;;20/03/2020;Fora do campus, mas na mesma cidade;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;O mesmo de antes;Melhor do que antes;O mesmo de antes;Pior do que antes;Pior do que antes;;Foram mais ou menos o mesmo;Melhorou;;Melhorou;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;N/A ou Não sabe;;;;Aumentaram;Diminuiu;Não;Estão mais ou menos as mesmas;Alimentação,  Outras (não relacionadas);Equipamentos como computador, web cam, microfone;De forma oportuna e prudente;migração para o ambiente virtual de forma responsável e coerente com o momento. Criou possibilidades de conexão com os professores de forma rápida e prática.;uma reunião remota com os alunos por curso, com orientações.;trabalhasse com prazos mais flexíveis de entregas e conclusões.;Pior do que antes;Pior do que antes;Pior do que antes;
26/04/2021;34;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Pós-Graduação em Mídia e Tecnologia;Doutorado;01/02/2020;Pública;Outra cidade;Sim;Não sei;;01/05/2020;Em uma cidade em outro Estado;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Pior do que antes;O mesmo que antes;Pior do que antes;Muito pior do que antes;Pior do que antes;;Foram mais ou menos o mesmo;Piorou;;Era mais ou menos o mesmo;Diminuiu;Diminuiu;N/A ou Não sabe;;;;Diminuiram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Internet, Alimentação,  Outras (não relacionadas);Investimento em pesquisa;De forma oportuna e prudente;Adaptação ao uso da plataforma google para as aulas e amparo na plataforma;Auxiliado melhor os colegas em necessidade de acesso a tecnologias;.;Pior do que antes;Pior do que antes;Muito pior do que antes;
21/05/2021;40;Masculino;Casado(a);Empregado(a);SP;UNESP;Pós-Graduação em Mídia e Tecnologia;Doutorado;17/04/2017;Pública;Outra cidade;Sim;Não sei;;20/03/2020;Fora do campus, mas na mesma cidade;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;Pior do que antes;O mesmo que antes;Pior do que antes;Muito pior do que antes;Muito pior do que antes;;Foram mais ou menos o mesmo;Melhorou;;Era mais ou menos o mesmo;Diminuiu;Foi mais ou menos o mesmo;N/A ou Não sabe;;;;Diminuiram;Está mais ou menos a mesma;Não;Estão mais ou menos as mesmas;Alimentação;;De forma oportuna e prudente;Disposição dos professores on-line;Nada a declarar;Sem sugestão;Muito pior do que antes;Pior do que antes;O mesmo de antes;
21/05/2021;47;Feminino;União Estável/Vivendo junto;Empregado(a);SP;UNESP;Pós-Graduação em Mídia e Tecnologia;Doutorado;17/04/2017;Pública;Local;Sim;Sim;Estamos estudando remotamente. A Unesp está trabalhando via remoto. A nossa comunicação com o orientador e com a secretária da Pós Graduação da FAAC é toda remota. As reuniões são realizadas via Meeting, quando necessárias. As bancas estão acontecendo remotamente.;17/03/2020;Fora do campus, mas na mesma cidade;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Pior do que antes;Muito pior que antes;Muito pior do que antes;Muito pior do que antes;Muito pior do que antes;A casa virou escritório e home-office. A duração das horas de trabalho triplicaram. As horas conectadas aumentaram exponencialmente.;Pioraram;Melhorou;;Piorou;Diminuiu;Diminuiu;N/A ou Não sabe;;;Precisava de um local sossegado para estudar. A falta de poder ir a bibliotecas e ficar tranquila enquanto as crianças frequentavam a escola faz muita falta.;Aumentaram;Diminuiu;Não;Aumentaram;Relacionadas com saúde, Internet, Alimentação,  Outras (não relacionadas);Aquisição de equipamentos e dispositivos tecnológicos utilizados para estudos.;De forma oportuna e prudente;Seguiu com as aulas remotas tentando manter a mesma qualidade de antes. O problema de aulas remotas, é a falta da presença dos colegas e professor, dos abraços, dos encontros. Agora fica muito mais reservado. ;Acredito que foram assertivas as tomadas de decisões de minha instituição.;Acredito que um atendimento de ginástica elaboral, disciplinas sobre organização e gestão do tempo, disciplinas motivacionais para este período. Salas de Bate-Papos ou Lives Bate-Papos, com um orientador. ;Pior do que antes;Muito pior do que antes;Muito pior do que antes;A casa virou escola. Em 2020 a mesa da cozinha era a escola, uma loucura. Em 2021 transformamos cada quarto em sala de aula. Investimos em aquisição de computador, notebook, câmeras, fone de ouvido, iluminação, cadeiras ergométricas e descansos de pé. Ficamos muito conectados. Eu fico por volta de 22horas. Muito cansaço mental, vista muito cansada, e todos os afazeres da casa. Dias passando, sexta e novamente é sexta-feira. Muito Complicado. Crianças com crises por falta de pessoas e medo de pessoas, medo de sair de casa. Adotamos a Amora, a mais nova alegria da casa, com ela mais trabalho, mas nos obriga a desconectar. Uma verdadeira operação de guerra para fazer uma simples compra no mercado, ou ir à padaria. Adotamos protocolos de higiêne: 1) Os sapatos dentro de casa só nas mãos. Nos pés, meia e sapatos que não são colocados para uso externo. Os sapatos de uso externo são higienizados e ficam numa estante para uso posterior. 2) Qualquer objeto externo é higienizado. 3) Lava-se a mão muito mais vezes. 4) Uso constante de alcool-gel nas mãos, quando saímos. Máscaras no rosto. Se for no mercado, posto de saúde, banco ou qualquer outro local: utilização de duas máscaras. Todos em casa. As crianças não frequentam a escola, mesmo estando estas abertas. Não encontramos amigos há mais de um anos, que não seja virtualmente. As crianças só vão na casa do meu irmão, que está seguindo o mesmo protocolo.
19/10/2021;26;Feminino;Solteiro(a);Estagiário(a);SP;UNESP;Bacharelado em Sistemas de Informação ;Graduação;21/01/2019;Pública;Local;Sim;Não sei;;16/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;N/A ou Não sabe;Pior que antes;N/A ou Não Sabe;Muito pior do que antes;Muito pior do que antes;;Melhoraram;Piorou;Ficou mais ou menos o mesmo;Piorou;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Aumentou;Não;Estão mais ou menos as mesmas;Relacionadas com saúde, Internet, Alimentação;;De forma oportuna e prudente;fechou no tempo correto;nada a declarar;nada a declarar;O mesmo de antes;Muito pior do que antes;Muito pior do que antes;
19/10/2021;19;Masculino;Solteiro(a);Dependente (dos pais, etc.);SP;UNESP;Bacharelado em Ciência da Computação;Graduação;24/02/2002;Pública;Outra cidade;Sim;Não sei;;16/03/2020;Em uma cidade em outro Estado;Sim;Família;Não;Não;Dificuldades para viajar/se deslocar;O mesmo de antes;Melhor do que antes;N/A ou Não Sabe;Pior do que antes;O mesmo de antes;;Melhoraram;Foi mais ou menos o mesmo;Ficou mais ou menos o mesmo;Era mais ou menos o mesmo;Ficou mais ou menos a mesma;Foi mais ou menos o mesmo;N/A ou Não sabe;;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Está mais ou menos a mesma;Não;Diminuiram;Viagens/deslocamentos, Alimentação;;Muito lentamente;Distribuiçao de chips com internet para alunos sem acesso à tal ferramenta;melhor organizaçao do calendário ;diminuisse a carga de trabalhos das matérias;O mesmo de antes;O mesmo de antes;Melhor do que antes;
19/10/2021;24;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas de Informação ;Graduação;29/02/2016;Pública;Local;Sim;Não sei;;23/03/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Não;Não;Não se aplica / Não sabe / Não se lembra;Pior do que antes;O mesmo que antes;Melhor do que antes;O mesmo de antes;Pior do que antes;;Melhoraram;Foi mais ou menos o mesmo;Melhorou;Melhorou;Aumentou;Aumentou;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Diminuiram;Aumentou;Não;Aumentaram;Viagens/deslocamentos, Aluguel, Internet, Alimentação;;Muito lentamente;;;;Pior do que antes;Pior do que antes;Muito pior do que antes;
19/10/2021;21;Masculino;Solteiro(a);Empregado(a);SP;UNESP;Bacharelado em Sistemas de Informação;Graduação;11/02/2019;Pública;Local;Sim;Não sei;;17/07/2020;Fora do campus, mas na mesma cidade da instituição de ensino;Sim;Família;Sim;Não;Dificuldades para viajar/se deslocar;Pior do que antes;Melhor do que antes;Muito pior do que antes;O mesmo de antes;Pior do que antes;;Pioraram;Foi mais ou menos o mesmo;Pioraram;Piorou;Diminuiu;Diminuiu;Não, ainda não retornou nenhuma atividade presencial;;Sim vacinado com duas doses ou com vacina de dose única;;Aumentaram;Aumentou;Não;Estão mais ou menos as mesmas;Internet, Alimentação, Outras (não relacionadas);;Muito rapidamente;o possível para manter as aulas e fazer o máximo para não prejudicar o calendário escolar;uma estrutura melhorar, ou algum cursos pra instruir os professores a como lidar com EAD, foi uma ruptura muito repentina que causou um complicação como o desengajamento de diversos alunos ;Tivesse investido em equipamento pros professores, no EAD;O mesmo de antes;Melhor do que antes;Pior do que antes;
